,product_id,category_id,description
73,87E4005056A615EF11E3B16D2F014655,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Dotz Tupac 9;5x19 5/120 ET 30 DIA 72;6 Dark
74,87E4005056A615EF11E3B16D2F01465F,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Dotz Territory 9x19 5/120 ET 25 DIA 74;1 Dark
75,87E4005056A615EF11E3B16FBCCF539F,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y4917 4;5x14 4/100 ET 43;5 DIA 56;6 Sil
76,87E4005056A615EF11E3B16FBCCF53A9,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y247 5;5x13 4/100 ET 38 DIA 73;1 BFP
77,87E4005056A615EF11E3B16FBCCF53B3,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y236 5;5x13 4/98 ET 35 DIA 58;6 Sil
78,87E4005056A615EF11E3B16FBCCF53BD,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y3159 5;5x13 4/98 ET 35 DIA 58;6 BFP
79,87E4005056A615EF11E3B16FBCCF53C7,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y343 5;5x13 4/98 ET 35 DIA 58;6 BFP
80,87E4005056A615EF11E3B16FBCCF53D1,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y450 5;5x13 4/98 ET 38 DIA 58;6 BFP
81,87E4005056A615EF11E3B170E1F6F9AB,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y465 5;5x14 4/100 ET 43 DIA 60;1 Sil
82,87E4005056A615EF11E3B170E1F6F9B5,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y3160 5;5x14 4/100 ET 45 DIA 56;6 Sil
83,87E4005056A615EF11E3B170E1F6F9BF,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y737 5;5x14 4/100 ET 45 DIA 73;1 BFP
84,87E4005056A615EF11E3B170E1F6F9C9,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y3120 5;5x14 4/98 ET 35 DIA 58;6 BFP
85,87E4005056A615EF11E3B170E1F6F9D3,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y4601 5;5x14 4/98 ET 35 DIA 58;6 BFPRI
86,87E4005056A615EF11E3B170E1F6F9DD,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y4917 5;5x14 4/98 ET 35 DIA 58;6 Sil
87,87E4005056A615EF11E3B170E1F6F9E7,B24E00155D030B1F11E270E6F5145C0B,Автомобильный диск Литой Nitro Y450 5;5x14 4/98 ET 38 DIA 58;6 Sil
